Part 2a
The sum the total length of all movies: 167446
Part 2b
 Popularity   |      Movie Title
     70       |   American Film Institute, Alfred Hitchcock
     70       |   Duke, The Films of John Wayne           
     70       |   Caddyshack                              
     70       |   Sex, Lies, and Videotape                
     70       |   Dr Alien                                
     70       |   Guys & Dolls                            
     70       |   Creepshow                               
     70       |   Hot Line, The                           
     70       |   Beartooth                               
     70       |   Bride Is Much Too Beautiful, The        
     70       |   A Matter of Time                        
     70       |   Eyes of the Amaryllis, The              
     70       |   Wild Orchids                            
     69       |   Presumed Innocent                       
     69       |   Double Edge                             
     69       |   Forgotten, The                          
     69       |   Blame It on the Bellboy                 
     69       |   Devils, The                             
     69       |   Lethal Weapon 2                         
     69       |   Comic Relief                            
     69       |   Disorderlies                            
     69       |   Bad Seed, The                           
     69       |   Heat                                    
     69       |   Stromboli                               
     69       |   To Catch a Thief                        
     69       |   Fear                                    
     69       |   Henry, Portrait of a Serial Killer      
     69       |   Shampoo                                 
     69       |   Johnny Tiger                            
     69       |   Eiger Sanction, The                     
     69       |   Christopher Columbus                    
     69       |   Menace on the Mountain                  
     69       |   Honkytonk Man                           
     68       |   Ladyhawke                               
     68       |   Annie Hall                              
     68       |   Hunting                                 
     68       |   Bataan                                  
     68       |   Train, The                              
     68       |   Polyester                               
     68       |   Scum                                    
     68       |   Good, the Bad & the Ugly, The           
     68       |   Law & Jake Wade, The                    
     68       |   Wolf at the Door, The                   
     68       |   Tie Me Up! Tie Me Down!                 
     68       |   Jewel of the Nile, The                  
     68       |   Octopussy                               
     68       |   Big Jake                                
     68       |   Man with Two Brains, The                
     68       |   High Heels                              
     68       |   Hush, Hush, Sweet Charlotte             
     68       |   Tucker: The Man & His Dream             
     68       |   Daffy Duck's Quackbusters               
     68       |   Once Around                             
     68       |   Glass Menagerie, The                    
     68       |   Trash                                   
     68       |   Hurricane Express, The                  
     68       |   An Evening with Robin Williams          
     67       |   Hair                                    
     67       |   Go Tell the Spartans                    
     67       |   Experts, The                            
     67       |   Dangerous When Wet                      
     67       |   Lost Boys, The                          
     67       |   Hang 'em High                           
     67       |   Man Who Loved Women, The                
     67       |   Diary of a Hitman                       
     67       |   48 Hrs.                                 
     67       |   Spartacus                               
     67       |   Mata Hari                               
     67       |   Cactus Flower                           
     67       |   Tartuffe                                
     67       |   Jay Leno: The American Dream            
     67       |   A Cry in the Dark                       
     67       |   On a Clear Day You Can See Forever      
     67       |   Bedazzled                               
     67       |   Matchmaker, The                         
     66       |   Last Metro, The                         
     66       |   Men Don't Leave                         
     66       |   Dogfight                                
     66       |   Pepi Luci Bom                           
     66       |   White Hunter, Black Heart               
     66       |   Law of the Lash                         
     66       |   Blackboard Jungle, The                  
     66       |   Number Seventeen                        
     66       |   Without Love                            
     66       |   Prize, The                              
     66       |   Inspiration                             
     66       |   Devil's Wanton, The                     
     66       |   Firehouse                               
     66       |   Dreams Lost, Dreams Found               
     66       |   Crisis                                  
     66       |   Crocodile Dundee                        
     66       |   Ambassador Bill                         
     66       |   Steel Magnolias                         
     66       |   Roxanne                                 
     66       |   Baby Face                               
     66       |   Killer's Kiss                           
     66       |   Fabulous Baker Boys, The                
     66       |   About Last Night                        
     66       |   Going Places                            
     66       |   On Her Majesty's Secret Service         
     66       |   Women, The                              
     66       |   Secrets of Women                        
     66       |   In Harm's Way                           
     65       |   Life & Times of Judge Roy Bean, The     
     65       |   National Enquirer, The Untold Story     
     65       |   Bad Sleep Well, The                     
     65       |   Going Ape                               
     65       |   Tomorrow Is Forever                     
     65       |   Blue Iguana, The                        
     65       |   Streets of Fire                         
     65       |   Manxman, The                            
     65       |   Willy Wonka & the Chocolate Factory     
     65       |   All the Right Moves                     
     65       |   How to Marry a Millionaire              
     65       |   Loulou                                  
     65       |   Mackintosh Man, The                     
     65       |   To Joy                                  
     65       |   Devil's Disciple, The                   
     65       |   Back to the Future II                   
     65       |   Women on the Verge of a Nervous Breakdown
     65       |   Fast Times at Ridgemont High            
     65       |   Howie Mandel's North American Watusi Tour
     64       |   Firefox                                 
     64       |   Coma                                    
     64       |   Apprenticeship of Duddy Kravitz, The    
     64       |   Rio Grande                              
     64       |   Grease II                               
     64       |   Norma Rae                               
     64       |   Trip, The                               
     64       |   Susan Lennox, Her Fall & Rise           
     64       |   One Woman or Two                        
     64       |   Brannigan                               
     64       |   Doc Hollywood                           
     64       |   Blind Man's Bluff                       
     64       |   Sophie's Choice                         
     64       |   Through a Glass Darkly                  
     64       |   Major League                            
     64       |   Sheltering Sky, The                     
     63       |   Ugly American, The                      
     63       |   Gosta Berling's Saga                    
     63       |   Juggernaut                              
     63       |   Running Mates                           
     63       |   Next of Kin                             
     63       |   Is Paris Burning?                       
     63       |   Dreamscape                              
     63       |   My Blue Heaven                          
     63       |   I Confess                               
     63       |   Madonna, Like a Virgin                  
     63       |   Postcards from the Edge                 
     63       |   Monty Python's Flying Circus, Vol 3.    
     63       |   Carlton-Browne of the F.O.              
     63       |   Boy in Blue, The                        
     62       |   Last Picture Show, The                  
     62       |   Live & Let Die                          
     62       |   Trip to Bountiful, The                  
     62       |   Virus                                   
     62       |   Arrogant, The                           
     62       |   Tentacles                               
     62       |   Everybody's All American                
     62       |   Smith!                                  
     62       |   Goalie's Anxiety at the Penalty Kick, The
     62       |   John Cleese on How to Irritate People   
     62       |   Rumor Mill, The                         
     62       |   Start the Revolution Without Me         
     62       |   Fall of the Roman Empire, The           
     62       |   Seventh Seal, The                       
     62       |   Donovan's Reef                          
